,Brand,Product Name,Ratings,Number of ratings,Price,Delivery day,Availability,Return,Color,Material
86,Juarez,-,3.5 out of 5,26 ratings,-,"Sunday, Dec 19",Only 1 left in stock.,7 Days Replacement,NATURAL,"Acrylonitrile Butadiene Styrene, Wood, Catalpa, Rosewood"
87,Kadence,-,4.2 out of 5,216 ratings,-,"Saturday, Dec 18",In stock.,7 Days Replacement,Black,Mahogany
88,Zhangxi,Ukulele,-,-,-,Jan 1 - 5,In stock.,7 Days Replacement,Pink,Acrylonitrile Butadiene Styrene
89,Kadence,-,4.3 out of 5,"1,158 ratings",-,"Saturday, Dec 18",In stock.,7 Days Replacement,Combo,Sapele
90,Zhangxi,-,-,-,-,Jan 1 - 5,In stock.,7 Days Replacement,Brown,Sapele
91,Kala,-,4.5 out of 5,"1,043 ratings",-,"Sunday, Dec 19",Only 2 left in stock.,7 Days Replacement,White Accents,-
92,MAIOO,Ukulele,-,-,-,Dec 30 - Jan 3,In stock.,7 Days Replacement,-,Basswood
93,POOWE,"Guitar, Ukulele",-,-,-,-,,7 Days Replacement,-,"Spruce Wood, Mahogany"
94,Mahalo Ukuleles,Mahalo Ukuleles,4.3 out of 5,"1,073 ratings",-,"Saturday, Dec 18",Only 2 left in stock.,7 Days Replacement,Multicolor,Mahogany
95,Medellin,Ukulele,-,-,-,"Saturday, Dec 18",In stock.,7 Days Replacement,Green Yellow Burst,"Mahogany, Rosewood"
96,Juarez,-,4.2 out of 5,30 ratings,-,"Friday, Dec 17",In stock.,7 Days Replacement,Mahogany,Mahogany
97,Juarez,-,3.9 out of 5,62 ratings,-,"Friday, Dec 17",In stock.,7 Days Replacement,Mahogany,Mahogany
98,HEALLILY,-,-,-,-,-,,10 Days Returnable,Lemon green,Basswood
99,Kadence,Ukulele,-,-,-,"Saturday, Dec 18",In stock.,7 Days Replacement,Brown,Sapele
100,Juarez,-,3.9 out of 5,88 ratings,-,"Saturday, Dec 18",In stock.,7 Days Replacement,BLACK,Linden Wood
101,Decdeal,"Guitar, Ukulele",-,-,-,-,,7 Days Replacement,-,Acrylonitrile Butadiene Styrene
102,MAIOO,"Guitar, Ukulele",-,-,-,Dec 30 - Jan 3,In stock.,7 Days Replacement,-,Wood
103,Kadence,-,3.7 out of 5,26 ratings,-,"Saturday, Dec 18",In stock.,7 Days Replacement,Brown,Sapele
